iter	Passed	Remaining
412	2679	3808
413	2683	3798
414	2688	3789
415	2692	3779
416	2698	3772
417	2703	3763
418	2706	3753
419	2711	3743
420	2714	3733
421	2717	3721
422	2720	3710
423	2723	3699
424	2727	3689
425	2730	3678
426	2736	3671
427	2740	3662
428	2743	3651
429	2745	3640
430	2749	3629
431	2755	3622
432	2760	3615
433	2764	3605
434	2769	3597
435	2774	3588
436	2778	3579
437	2782	3570
438	2786	3560
439	2790	3550
440	2796	3544
441	2800	3535
442	2803	3525
443	2809	3518
444	2812	3507
445	2815	3497
446	2820	3489
447	2840	3500
448	2844	3490
449	2847	3480
450	2852	3472
451	2856	3463
452	2859	3452
453	2864	3445
454	2868	3436
455	2871	3426
456	2875	3416
457	2880	3409
458	2883	3399
459	2887	3389
460	2891	3380
461	2895	3371
462	2898	3361
463	2901	3351
464	2907	3344
465	2911	3336
466	2914	3326
467	2919	3318
468	2922	3308
469	2925	3299
470	2929	3289
471	2933	3281
472	2937	3273
473	2940	3263
474	2944	3254
475	2948	3245
476	2951	3236
477	2955	3227
478	2961	3220
479	2965	3212
480	2969	3203
481	2972	3194
482	2976	3186
483	2979	3176
484	2983	3167
485	2987	3159
486	2990	3150
487	2993	3141
488	2996	3131
489	3001	3123
490	3005	3115
491	3008	3106
492	3011	3097
493	3016	3089
494	3019	3080
495	3022	3071
496	3026	3062
497	3030	3055
498	3033	3045
499	3037	3037
500	3042	3030
501	3045	3021
502	3048	3012
503	3051	3002
504	3054	2994
505	3058	2985
506	3061	2976
507	3064	2968
508	3069	2961
509	3074	2954
510	3078	2946
511	3085	2940
512	3101	2944
513	3105	2936
514	3108	2927
515	3113	2920
516	3116	2911
517	3119	2902
518	3122	2893
519	3127	2886
520	3130	2878
521	3133	2869
522	3137	2861
523	3142	2854
524	3145	2846
525	3149	2838
526	3152	2829
527	3156	2821
528	3159	2813
529	3162	2804
530	3166	2796
531	3169	2788
532	3172	2779
533	3175	2771
534	3180	2764
535	3184	2756
536	3186	2747
537	3189	2739
538	3194	2732
539	3197	2723
540	3201	2715
541	3204	2707
542	3208	2700
543	3211	2692
544	3215	2684
545	3218	2676
546	3223	2669
547	3226	2661
548	3229	2653
549	3233	2645
550	3237	2638
551	3240	2629
552	3243	2622
553	3247	2614
554	3250	2606
555	3254	2598
556	3257	2590
557	3260	2582
558	3263	2574
559	3267	2567
560	3271	2559
561	3295	2568
562	3299	2560
563	3302	2552
564	3308	2547
565	3312	2540
566	3318	2534
567	3322	2527
568	3327	2520
569	3331	2513
570	3336	2506
571	3340	2499
572	3346	2493
573	3351	2487
574	3356	2480
575	3364	2476
576	3370	2470
577	3377	2465
578	3383	2459
579	3389	2454
580	3394	2447
581	3400	2442
582	3405	2435
583	3410	2429
584	3415	2423
585	3422	2418
586	3427	2411
587	3438	2409
588	3443	2402
589	3450	2397
590	3455	2391
591	3459	2384
592	3464	2377
593	3469	2371
594	3474	2365
595	3480	2359
596	3485	2352
597	3490	2346
598	3496	2340
599	3501	2334
600	3508	2329
601	3512	2322
602	3518	2316
603	3522	2309
604	3527	2302
605	3536	2299
606	3540	2292
607	3547	2287
608	3554	2282
609	3560	2276
610	3566	2270
611	3573	2265
612	3580	2260
613	3586	2254
614	3592	2249
615	3598	2243
616	3603	2237
617	3609	2231
618	3616	2226
619	3621	2219
620	3626	2213
621	3631	2206
622	3640	2203
623	3645	2196
624	3654	2192
625	3658	2185
626	3667	2181
627	3671	2174
628	3679	2170
629	3683	2163
630	3692	2159
631	3696	2152
