iter	RMSE
520	0.6592863992
521	0.658698482
522	0.6582963972
523	0.6579274782
524	0.6574794644
525	0.6572643718
526	0.6572441511
527	0.6572261914
528	0.6570997616
529	0.6564808206
530	0.6561071897
531	0.6559252929
532	0.655777245
533	0.6557516408
534	0.6556225767
535	0.6555862854
536	0.6553162992
537	0.6551611842
538	0.655042935
539	0.6548630676
540	0.6546133038
541	0.6545893811
542	0.654568151
543	0.6543630416
544	0.6540063776
545	0.6534952528
546	0.6534168214
547	0.6532260231
548	0.653203224
549	0.6529994053
550	0.6528714196
551	0.6528319362
552	0.652744038
553	0.6527208028
554	0.6526522249
555	0.6524640868
556	0.6522872579
557	0.6522440102
558	0.6522079812
559	0.6518633277
560	0.6518362212
561	0.6516698994
562	0.6515951282
563	0.6514521047
564	0.6513287228
565	0.6512142865
566	0.6510702373
567	0.6509573869
568	0.6508022231
569	0.6506578023
570	0.6506009764
571	0.650531133
572	0.6503219455
573	0.6501933046
574	0.6501596134
575	0.6501406519
576	0.6499532987
577	0.6497814783
578	0.6496662463
579	0.6496524844
580	0.6493305496
581	0.6492383943
582	0.6490217514
583	0.6490037039
584	0.648716275
585	0.6486919114
586	0.6486677997
587	0.6485289441
588	0.6485116421
589	0.6480547701
590	0.6480223257
591	0.6479045673
592	0.6477732386
593	0.647502835
594	0.6473952944
595	0.6470099395
596	0.6469955255
597	0.6469682217
598	0.6469028097
599	0.6468029311
600	0.6467232258
601	0.6467072757
602	0.6465997833
603	0.6465258175
604	0.6463280394
605	0.6463121218
606	0.6461026216
607	0.6460024581
608	0.6458324755
609	0.6457582045
610	0.6456730307
611	0.6455378227
612	0.6451773199
613	0.644842063
614	0.6446284956
615	0.6445358171
616	0.6444745794
617	0.6442154349
618	0.6441279483
619	0.6440711425
620	0.6439077672
621	0.6437626617
622	0.6437345084
623	0.6435367538
624	0.6435075798
625	0.6434144762
626	0.6433751038
627	0.6433218593
628	0.6431825066
629	0.6431173789
630	0.6430888733
631	0.6430626103
632	0.6430372134
633	0.6428839925
634	0.6428339896
635	0.6427923439
636	0.6427016448
637	0.6425258713
638	0.6422579119
639	0.6422106576
640	0.6417520664
641	0.6417408304
642	0.6414890738
643	0.6413629473
644	0.6411601896
645	0.6411403711
646	0.6405598138
647	0.6404813841
648	0.6403793714
649	0.6403079562
650	0.6401855917
651	0.6397583394
652	0.6395266696
653	0.6395012562
654	0.6394665758
655	0.639452576
656	0.639409463
657	0.6393871883
658	0.6393328325
659	0.6392058194
660	0.6391086876
661	0.6387332505
662	0.638613557
663	0.6385628511
664	0.6385237488
665	0.638492358
666	0.6384155378
667	0.6383334093
668	0.638219931
669	0.6382092171
670	0.6381665201
671	0.6377688278
672	0.637747511
673	0.6376889582
674	0.6374449764
675	0.6373262605
676	0.6372088338
677	0.6371464692
678	0.6370571474
679	0.6367841648
680	0.6366531872
681	0.6365575063
682	0.636529248
683	0.6361581641
684	0.6360143594
685	0.6357464383
686	0.6357327184
687	0.6356691768
688	0.6355761276
689	0.6355007395
690	0.6354598867
691	0.6354505581
692	0.6354415396
693	0.6353280373
694	0.6353176507
695	0.6351952026
696	0.6351570162
697	0.6348176303
698	0.6346393369
699	0.6345988061
700	0.6345689413
701	0.6342540389
702	0.6341487611
703	0.6339724341
704	0.6339535235
705	0.633690316
706	0.633672229
707	0.6335841034
708	0.6334221461
709	0.6333980599
710	0.6333452864
711	0.6332813807
712	0.6332278752
713	0.6331237777
714	0.6330420182
715	0.6329446411
716	0.6329297051
717	0.6328792524
718	0.6327563857
719	0.6325168054
720	0.6323715139
721	0.6323547646
722	0.6322568828
723	0.6321873735
724	0.6321205049
725	0.631957807
726	0.6319452291
727	0.6318586819
728	0.6317573692
729	0.6316143514
730	0.631405858
731	0.6313678549
732	0.6313560996
733	0.6313372658
734	0.6312865695
735	0.6312100838
736	0.6311870081
737	0.631156161
738	0.63107358
739	0.6310496427
740	0.6310277319
741	0.6309080532
742	0.630473419
743	0.630390739
744	0.6303312042
745	0.6299978238
746	0.6299695187
747	0.6299083351
748	0.6299000418
749	0.6298662369
750	0.6298232241
751	0.6297913109
752	0.6297185606
753	0.6297056309
754	0.6296690327
755	0.6296603867
756	0.6296437152
757	0.6296134992
758	0.6295911118
759	0.6295626982
760	0.6294845938
761	0.6293398955
762	0.6291959443
763	0.6288771305
764	0.6286041949
765	0.6285825955
766	0.6283889338
767	0.628364049
768	0.6283007081
769	0.6282340926
770	0.6281960321
771	0.6281728041
772	0.6281644212
773	0.6280277616
774	0.6279861009
775	0.6278999857
776	0.6278104482
777	0.627718648
778	0.6276453501
779	0.6275070168
780	0.6274373575
781	0.6272369146
782	0.6272172933
783	0.6268145933
784	0.6268039799
785	0.6267395294
786	0.6267291598
787	0.6266864314
788	0.6266666604
789	0.626588147
790	0.6265106409
791	0.6264193967
792	0.6263187049
793	0.6260730218
794	0.626047039
795	0.625974679
796	0.6259567493
797	0.6258943915
798	0.6255852181
799	0.6255681071
800	0.6255588895
801	0.6255408781
802	0.625484763
803	0.6254721788
804	0.6254405128
805	0.6253965621
806	0.6253808343
807	0.6253692171
808	0.6253574473
809	0.6253165025
810	0.6252912002
811	0.6252053073
812	0.6251987228
813	0.6251684905
814	0.6251607683
815	0.6251252288
816	0.6248252419
817	0.6247968419
818	0.6247601337
819	0.6247497095
820	0.6246947821
821	0.6245536579
822	0.6244556424
823	0.6244258734
824	0.6244024699
825	0.6243327677
826	0.6243096818
827	0.6243026542
828	0.624245465
829	0.6241729965
830	0.624133274
831	0.624078737
832	0.623982423
833	0.6239724554
834	0.6237392726
835	0.6235119686
836	0.6234406291
837	0.6233661571
838	0.6231856556
839	0.6231528229
840	0.6230730035
841	0.6228907738
842	0.6228810092
843	0.6228576335
844	0.622831628
845	0.6228175918
846	0.6227535623
847	0.6226070586
848	0.622594831
849	0.622554436
850	0.6225337469
851	0.622520068
852	0.6224267171
853	0.6224205962
854	0.6223690431
855	0.6223140227
856	0.6221374407
857	0.6221159169
858	0.6218440414
859	0.6218164773
860	0.6218051492
861	0.6217106362
862	0.6216675025
863	0.6216020161
864	0.6215119747
865	0.621412139
866	0.6213318718
867	0.621323644
868	0.6211937019
869	0.6211849469
870	0.6211305025
871	0.6209904502
872	0.6209008514
873	0.6208600957
874	0.6207673969
875	0.6206905648
876	0.6206083703
877	0.6205960884
878	0.6205400501
879	0.6205303056
880	0.6204971545
881	0.6204698331
882	0.6204223968
883	0.6203652326
884	0.6203119028
885	0.6203035367
886	0.6202459365
887	0.620236794
888	0.6202243009
889	0.6202087641
890	0.6201092694
891	0.6201013083
892	0.6200920581
893	0.6200749698
894	0.6200520016
895	0.6198099324
896	0.6197725653
897	0.6195394047
898	0.6194188615
899	0.6192437437
900	0.6192076017
901	0.6191770296
902	0.6191603335
903	0.6191135165
904	0.6190465435
905	0.6190421807
906	0.6188259171
907	0.6186370798
908	0.6186313744
909	0.6184928892
910	0.6184693978
911	0.6184294829
912	0.6183855301
913	0.6183713175
914	0.618255553
915	0.618172221
916	0.6181604649
917	0.6181383484
918	0.6180562276
919	0.6180505193
920	0.6179858043
921	0.6179720698
922	0.6179308784
923	0.6179003458
924	0.617881615
925	0.6178197332
926	0.6177522878
927	0.6177324583
928	0.6177056209
929	0.6176819264
930	0.6176698986
931	0.6176538804
932	0.6174563529
933	0.6174450681
934	0.6173978333
935	0.6172001422
936	0.6171784562
937	0.6171591293
938	0.6171547453
939	0.617143313
940	0.6171034464
941	0.6170599021
942	0.617025159
943	0.6169529093
944	0.6169386122
945	0.6169286125
946	0.6168352203
947	0.6168229671
948	0.6167995285
949	0.6163986878
950	0.6163166109
951	0.6162845839
952	0.616115503
953	0.6161046325
954	0.6160947499
955	0.6160851769
956	0.6160560495
957	0.6160005654
958	0.6158981029
959	0.6158951003
960	0.6158824344
961	0.6158523739
962	0.6156160149
963	0.6154798576
964	0.6154645151
965	0.6154562253
966	0.615446045
967	0.6153835669
968	0.615349035
969	0.6153431838
970	0.6153301956
971	0.615287358
972	0.6152655184
973	0.6151945103
974	0.615183904
975	0.6150822128
976	0.6149799138
977	0.6149616569
978	0.6149524816
979	0.6147983977
980	0.6147949488
981	0.6147389376
982	0.6146995266
983	0.6146387683
984	0.614615887
985	0.614523698
986	0.6144765374
987	0.6144421786
988	0.6144264173
989	0.6144206237
990	0.6143630822
991	0.6143496076
992	0.6143333559
993	0.6142523858
994	0.6140525032
995	0.6139917023
996	0.6137859857
997	0.6137178594
998	0.6137031868
999	0.6136996898
